order,mae,rmse,aic
"(0, 0, 1)",0.5391847704441132,0.5762919467813812,3373.7788282511265
"(2, 0, 1)",0.5662831714316722,0.7073576566775793,982.4159746059106
"(1, 0, 2)",0.5872232110885937,0.7335712593158122,990.2815751334488
"(2, 0, 2)",0.6240918614885559,0.7494286764599127,975.2385555606907
"(1, 0, 1)",0.6429942808557676,0.7839870085132519,1006.7916449322432
"(1, 0, 0)",0.6936232950637923,0.8349698008651005,1149.45170963529
"(1, 1, 1)",0.7680942857014873,0.918951339335594,985.2981221345492
"(2, 1, 1)",0.8098133162862863,0.959281835935985,984.796098952316
"(1, 1, 2)",0.8454212993474277,0.9917160850608608,985.336800622496
