date,mean,mean_se,mean_ci_lower,mean_ci_upper
2026-07-01,3.5074997559481336,0.41215405489537943,2.6996926522710454,4.315306859625221
2026-08-01,3.5139038504725293,0.6917912098199969,2.1580179944039437,4.869789706541114
2026-09-01,3.520193967878383,0.8811291773172806,1.793212514609106,5.24717542114766
2026-10-01,3.5263721366778444,1.0313562979011912,1.5049509375629468,5.547793335792742
2026-11-01,3.5324403492805407,1.1579582389580518,1.2628839053213334,5.8019967932397485
2026-12-01,3.5384005626361112,1.2681721523731062,1.0528288177881815,6.0239723074840406
2027-01-01,3.5442546988653096,1.3660969015581563,0.8667539724195636,6.221755425311056
2027-02-01,3.5500046458798713,1.4543316263604538,0.6995670366358193,6.400442255123924
2027-03-01,3.55565225799135,1.5346533354230625,0.5477869918078802,6.56351752417482
2027-04-01,3.5611993565091176,1.6083443682378438,0.4089023200251174,6.713496392993118
2027-05-01,3.566647730327724,1.6763685497723713,0.28102574795823543,6.852269712697213
2027-06-01,3.5719991365037984,1.7394737241214486,0.1626932851719971,6.9813049878356
